Account Number,Account Source,Annual Revenue,State Code,Country Code,Channel Program Name,Industry,Name,Number of employees,Ownership,Rating,Site,Type,Year Started,Total Opportunity Amount,First Sale Date,Last Sale Date,Average Sales Cycle ,Number of Renewals,Num Opportunities Won,Num Opportunities Lost
1,2,$208282.78,TX,US,3,Commercial Banks,"Dibbert, Pagac and Bartell",61340,3,3,US,6,1951,268658,5/19/2015,8/28/2018,90,1,5,3
2,1,$97949.70,CA,US,3,Apparel,Fritsch-Bosco,40477,3,2,US,6,1926,598176,3/27/2015,7/28/2018,35,5,5,1
3,2,$834325.83,MI,US,3,,"Schroeder, McKenzie and Jacobi",67826,1,2,US,2,1979,196996,2/29/2016,5/23/2018,30,3,5,1
4,4,$203123.49,IL,US,2,Major Banks,Mills-Klocko,47481,4,1,US,3,1914,212998,09-06-2016,7/14/2018,83,2,4,4
5,3,$787863.88,OH,US,2,Transportation Services,Lehner Group,37458,2,1,US,7,1932,780885,3/26/2016,1/15/2019,67,3,3,2
6,5,$249192.86,IL,US,2,Biotechnology: Biological Products (No Diagnostic Substances),"Bartoletti, Kunze and Macejkovic",27658,3,2,US,3,1915,532842,2/26/2016,4/19/2018,67,2,3,1
7,1,$332771.10,FL,US,2,Real Estate Investment Trusts,Spencer LLC,13677,4,2,US,4,1934,890378,01-07-2018,12/16/2018,36,1,3,4
8,2,$506154.38,VA,US,3,Finance: Consumer Services,"Wolff, Murphy and Hartmann",45413,3,2,US,7,1948,300351,5/30/2017,4/30/2018,68,4,1,2
9,2,$505139.28,CA,US,2,Major Banks,"Senger, Wunsch and Medhurst",58089,2,3,US,6,1943,650676,8/27/2017,10/18/2018,33,5,4,1
10,1,$713985.14,AZ,US,2,Property-Casualty Insurers,MacGyver-Bins,22404,3,3,US,2,1934,790618,09-01-2017,08-01-2018,68,3,2,2
11,1,$477478.64,OH,US,3,Major Banks,Botsford Inc,37467,2,1,US,3,1919,393031,1/24/2018,04-08-2018,58,5,2,3
12,3,$128316.98,VA,US,2,,Dibbert and Sons,76057,2,2,US,7,1926,949726,1/27/2016,03-09-2018,48,3,2,4
13,4,$230682.53,CA,US,3,Industrial Machinery/Components,Mosciski-Bins,19434,4,1,US,6,1967,41303,10/26/2015,01-10-2019,83,1,2,2
